What industry do you work in?,Normalized
"Architecture, Engineering, Construction",Construction
Biotech,Biotechnology
E-Commerce,E-Commerce
Facility maintenance,Maintenance
Manufacturing,Manufacturing
Media,Media
Mental Healthcare,Healthcare
Non profit,Non-Profit
Nonprofit,Non-Profit
software consulting,Technology/Software
501(c)3 nonprofit - homeless services,Non-Profit
A/E,Architecture
A/E/C,Architecture
A/E/C Consulting,Architecture
Acadamia,Education
Academia,Education
Academia - Fundraising,Education
Academia - Geology/Environmental Engineering,Education
Academia - human neuroscience,Education
Academia - library,Education
Academia - Private K-12,Education
Academia - Public Health,Education
Academia - science,Education
Academia - Staff,Education
academia - university,Education
Academia (4-year college),Education
Academia (administrator),Education
Academia (at a university),Education
Academia (Engineering),Education
Academia (science research),Education
Academia (science),Education
Academia (STEM),Education
Academia (university),Education
Academia / NGO,Education
Academia / Research,Education
Academia Administration,Education
Academia -Public Health,Education
Academia support,Education
Academia/ research,Education
Academia/admissions,Education
Academia/government,Government
Academia/Healthcare,Healthcare
Academia/higher ed,Education
Academia/Library,Education
Academia/Life Science Research,Education
academia/media,Education
Academia/Nonprofit,Non-Profit
Academia/Other,Education
Academia/research,Education
academic,Education
Academic Admin,Education
Academic Admin - College Admissions,Education
Academic Administration,Education
academic biological research,Education
Academic book publishing,Education
Academic communications,Education
Academic finance,Finance
Academic health sciences libraries,Education
Academic healthcare,Healthcare
academic intellectual property licensing,Education
Academic IT,Education
Academic LIbrarianship,Education
Academic librarianship/archives,Education
Academic libraries,Education
academic library,Education
Academic library (public university),Education
"Academic library, state-supported",Education
Academic Medical Center,Education
Academic Medicine,Education
Academic Medicine/Higher Ed/Healthcare,Healthcare
Academic non-profit (scientific society),Non-Profit
Academic Public Health Research,Education
Academic publishing,Education
Academic Research,Education
Academic Research (Neuroscience),Education
academic research science,Education
Academic Research/Higher Ed,Education
Academic science,Education
Academic software,Education
Academic software development,Education
Academic Support - Health Sciences,Education
Academic Tech,Education
"Academic, public health",Education
academic/research,Education
Academica,Education
Academics,Education
Academics (non-university),Education
Academics / Medical Research,Education
Acadmia,Education
Accountancy,Accounting
Accounting,Accounting
Accounting - NonProfit,Accounting
Accounting - Tax,Accounting
Accounting - tax prep,Accounting
Accounting (for a construction company),Construction
Accounting (Public),Accounting
Accounting and Administration and HR,Accounting
Accounting and Finance,Finance
Accounting and HR,Accounting
Accounting and real estate,Accounting
Accounting big 4,Accounting
Accounting firm,Accounting
Accounting software,Accounting
Accounting/ Assitant Teaching,Accounting
Accounting/Consulting,Accounting
Accounting/Finance,Finance
Accounting/Real Estate,Accounting
Accounting/Tax,Accounting
Accouting,Accounting
Acedemia,Education
Acedemia/Healthcare,Healthcare
acoustical engineering consulting,Engineering
Activism,Actuary
Actuarial,Actuary
Actuarial Consulting,Actuary
Ad Agency,Advertising
Ad Tech,Advertising
Ad Tech/MarTech,Advertising
Ad tech/mobile marketinf,Advertising/Marketing
Ad Technology,Advertising
Addiction Recovery,Social Service
Admin,Administration
Admin A/R Billing,Administration
Admin Assistant in Big 4 Accounting Firm,Accounting
Admin/Environmental Consulting,Administration
Administration,Administration
administration / construction (union),Construction
Administrative,Administration
Adminstration,Administration
Ads / Classifieds,Advertising
AdTech,Advertising
Ad-tech,Advertising
adult education,Education
Advancement in Higher Ed,Education
Advancement/Development/Fundraising,Non-Profit
Advertisind,Advertising
Advertising,Advertising
Advertising & Communications,Advertising
Advertising & Design,Advertising
Advertising & Marketing,Advertising/Marketing
Advertising / Marketing,Advertising/Marketing
Advertising / Software,Advertising
Advertising / tech,Advertising
Advertising and Marketing,Advertising/Marketing
Advertising and Media,Advertising
Advertising Sales,Advertising
Advertising tech,Advertising
Advertising Technology,Advertising
Advertising Techonology,Advertising
Advertising/Design,Advertising
Advertising/Internet Marketing,Advertising/Marketing
Advertising/Marketing,Advertising/Marketing
Advertising/Media,Advertising
Advertising/PR,Advertising
Advertising/Publishing,Advertising
Advertising/sales-LGBTQ focused,Advertising
Advertisting,Advertising
Advertizing,Advertising
AEC,Architecture
A-E-C,Architecture
AEC Consulting,Architecture
AECO,Architecture
Aero,Aerospace/Defense
Aero Space,Aerospace/Defense
Aerodpace,Aerospace/Defense
Aeronautic engineering,Engineering
Aerospace,Aerospace/Defense
Aerospace & Defense,Aerospace/Defense
Aerospace & Defense Manufacturing,Manufacturing
Aerospace / Defense,Aerospace/Defense
Aerospace and Aviation,Aerospace/Defense
